K,gamma,exact_log_ratio,perturbative_log_ratio
1,0.2149990095594233,-0.8345975927952072,-0.9949921843255825
1,0.2369295334478522,-0.8554571220026164,-0.9958745189407553
1,0.26109703451588046,-0.8698056000670498,-0.9966016577669297
1,0.28772969093779666,-0.879434613407402,-0.9972008136929451
1,0.31707895572488665,-0.8855744264554168,-0.9976944552109683
1,0.3494219308264567,-0.8890791207739817,-0.9981011248035855
1,0.385063983396064,-0.8905493644125908,-0.9984361189912875
1,0.42434162892450517,-0.8904138486823365,-0.9987120525066463
1,0.46762570846074836,-0.8889835081791828,-0.9989393257157552
1,0.5153248899186396,-0.8864878221550034,-0.9991265114568417
1,0.5678895265270656,-0.8830992790908727,-0.9992806749017588
1,0.6258159088532511,-0.87894998128938,-0.9994076378423075
1,0.689650950544788,-0.8741429990641398,-0.9995121969255836
1,0.7599973520309762,-0.8687601965703493,-0.9995983037731259
1,0.837519290936706,-0.8628676731157867,-0.9996692135804582
1,0.9229486929350941,-0.856519584734766,-0.999727607671603
1,1.0170921422453234,-0.8497608605106217,-0.9997756945455831
1,1.12083849702134,-0.8426291615074462,-0.9998152931706
1,1.2351672815323365,-0.8351563183906521,-0.9998479016318701
1,1.3611579343700382,-0.8273694083461853,-0.9998747536998189
1,1.5,-0.8192915805815915,-0.9998968654383315
2,0.0001,17.99993367690024,18.015514718084017
2,0.0001102002906587192,17.610197575650947,17.627158877900957
2,0.00012144104061266207,17.220399987135433,17.238837641515918
2,0.00013382837973412683,16.83054801936083,16.850558411823776
2,0.00014747926345086223,16.4406523250358,16.46233017114979
2,0.00016252257698418858,16.0507280424339,16.074163816192293
2,0.00017910035222261646,15.660795943909871,15.686072563032024
2,0.0001973691087201132,15.270883831183117,15.298072436408926
2,0.00021750133148008824,14.881028221547112,14.910182860127666
2,0.00023968709947764182,14.491276373719582,14.522427368506474
2,0.00026413588029581474,14.101688705345367,14.134834462233911
2,0.00029107850781995444,13.712341655038962,13.747438635813534
2,0.0003207693616626528,13.323331038591792,13.36028160787016
2,0.00035348876889636157,12.934775939162254,12.973413789787408
2,0.00038954565076971864,12.546823151644805,12.586896032134337
2,0.0004292804393966292,12.159652167774652,12.200801691613814
2,0.00047306829195611276,11.773480635788964,11.815219063038775
2,0.0005213226327498746,11.388570151098197,11.430254219940503
2,0.0005744990565600491,11.005232127405339,11.04603430213978
2,0.0006330996301607743,10.623833358449378,10.662711276608901
2,0.0006976776325964496,10.244800711978648,10.280466176061363
2,0.0007688427789821585,9.868624212691241,9.8995137838975
2,0.0008472669771469127,9.495857598352458,9.52010767958801
2,0.0009336906714712427,9.127115322579005,9.142545480068756
2,0.0010289298338146565,8.763065000998207,8.767174005534413
2,0.001133883667538029,8.404414543179605,8.394393959670518
2,0.0012495430973586534,8.051893766229476,8.024663547405268
2,0.0013770001251951986,7.706231193782617,7.658500269287126
2,0.001517458140336036,7.3681279679293965,7.296479956081129
2,0.0016722432812747068,7.038232179341577,6.939231983892732
2,0.001842816956485632,6.717118164461553,6.587429602440427
2,0.0020307896423553294,6.405276074309718,6.24177449409067
2,0.0022379360885427394,6.103116990069648,5.902975132147647
2,0.0024662120743304703,5.810997944615224,5.571719261543666
2,0.002717772874172606,5.5292695760345865,5.2486418455174535
2,0.0029949936067820387,5.258347172316892,4.934290960135245
2,0.0033004916598838646,4.998803971752338,4.6290951140942855
2,0.003637151402358808,4.7514839503148565,4.333336003376701
2,0.004008151417097093,4.517629776418726,4.0471305066487595
2,0.004416994511682568,4.299019673056328,3.7704246928814458
2,0.004867540790253865,4.098104257167655,3.503000912456235
2,0.005364044098791477,3.918131719184398,3.2444970779808022
2,0.005911192187930082,3.763250130157271,2.994435511274971
2,0.00651415097249446,3.6385865450267616,2.7522576502957863
2,0.007178613305636679,3.550336308274293,2.5173606551839782
2,0.007910852728077117,3.5059693554970295,2.2891324449236787
2,0.0087177826999242,3.5147964144501636,2.066982669092697
2,0.009607021874312009,3.58939194868616,1.8503682496894913
2,0.010586966029138566,3.7489486793468956,1.6388131472451422
2,0.011666867336050574,4.027382925225094,1.4319227548234705
2,0.012856921715094902,4.49587364729134,1.229393755002143
2,0.014168365099798567,5.347990920810663,1.03102041804204
2,0.015613579521566553,7.586287153542774,0.8366982410013675
2,0.017206210014996618,6.696841525813184,0.6464256003181488
2,0.018961293447875924,4.490718828429237,0.46030377644316234
2,0.020895400492211946,3.298918224525014,0.2785353561781334
2,0.023026792076721033,2.4283141557451433,0.10142066486977086
2,0.0253755917979255,1.7166218415452086,-0.07064843521787845
2,0.02796397591768401,1.1006675529460157,-0.23719827486140588
2,0.03081638274102205,0.5512664090959465,-0.3976876148902906
2,0.03395974335110968,0.05528986034920713,-0.5515272339536383
2,0.037423735879877934,-0.39084765311454284,-0.6981052890758286
2,0.04124106571497687,-0.7844667982174265,-0.83681813142652
2,0.04544777428865795,-1.1196090562151646,-0.9671052472130772
2,0.050083579364019706,-1.3908118498846491,-1.0884858629995293
2,0.05519225003144003,-1.596987052353965,-1.2005937719308948
2,0.06082201995573401,-1.7433944016886151,-1.303206425199486
2,0.06702604277572308,-1.840484107369452,-1.3962645616665137
2,0.07386289395588429,-1.9007381704038533,-1.4798797065102898
2,0.08139712382832602,-1.9357307471148122,-1.5543285845071009
2,0.08969986704665296,-1.95461690096805,-1.6200354588309445
2,0.09884951420589624,-1.9639084055321074,-1.6775451218912911
2,0.10893245196962958,-1.96790295529218,-1.727490324050454
2,0.12004387869220161,-1.9692744100157817,-1.7705576556761966
2,0.13228870323680647,-1.9695935374636946,-1.807455385475234
2,0.14578253547561118,-1.969717562178893,-1.8388857720919087
2,0.16065277782377413,-1.970058791724627,-1.865523227692883
2,0.17703982811310548,-1.9707618449787159,-1.887998685221242
2,0.1950984051623391,-1.971817623878362,-1.906889756897289
2,0.2149990095594233,-1.9731353945203427,-1.922715811390112
2,0.2369295334478522,-1.974587742872762,-1.935936904747804
2,0.26109703451588046,-1.976038156599195,-1.946955503010991
2,0.28772969093779666,-1.9773575328729684,-1.956120055142392
2,0.31707895572488665,-1.9784336435677936,-1.9637296495460541
2,0.3494219308264567,-1.979176127537249,-1.9700391716330627
2,0.385063983396064,-1.979518632520886,-1.975264547621022
2,0.42434162892450517,-1.979419075116363,-1.979587799078029
2,0.46762570846074836,-1.978858422284059,-1.9831617408686615
2,0.5153248899186396,-1.9778376203749133,-1.986114234505095
2,0.5678895265270656,-1.9763705883981402,-1.9885519641271647
2,0.6258159088532511,-1.9744663208407225,-1.9905637386565918
2,0.689650950544788,-1.9720770212925025,-1.992223345933735
2,0.7599973520309762,-1.9689275492074412,-1.9935919969069311
2,0.837519290936706,-1.9638572227228384,-1.9947204033895956
2,0.9229486929350941,-1.951579908886858,-1.9956505339111485
2,1.0170921422453234,-1.8983290739983065,-1.9964170904779925
2,1.12083849702134,-1.2966381881861206,-1.9970487458197694
2,1.2351672815323365,-0.8150394809387738,-1.997569176721284
2,1.3611579343700382,-1.6583787747441274,-1.9979979248455362
